hora;cantidad;promedio;std;min;mediana;max
0;30.0;754.53;1336.86;323.0;513.0;7814.0
1;30.0;497.5;1288.61;187.0;259.5;7317.0
2;30.0;151.1;20.18;102.0;152.5;200.0
3;30.0;96.1;15.41;67.0;96.0;130.0
4;30.0;91.07;19.6;55.0;95.5;133.0
5;30.0;132.87;42.04;55.0;150.0;200.0
6;30.0;427.93;254.4;62.0;534.0;761.0
7;30.0;1866.17;1349.81;152.0;2370.0;3821.0
8;30.0;3799.83;2664.86;287.0;5005.5;7292.0
9;30.0;4929.7;3390.07;522.0;6493.5;11328.0
10;30.0;5827.37;5644.38;679.0;6254.5;30259.0
11;30.0;7103.7;9884.27;881.0;6198.0;43885.0
12;30.0;7069.07;10470.48;842.0;5059.5;41726.0
13;30.0;5559.73;7933.48;870.0;4728.5;36725.0
14;30.0;8990.9;7075.73;941.0;8978.5;43817.0
15;30.0;4237.97;6873.66;879.0;3776.0;39619.0
16;30.0;11109.93;7905.01;1068.0;11874.5;39830.0
17;30.0;14214.33;8566.38;1120.0;14003.0;45291.0
18;30.0;11929.47;11001.09;994.0;14355.0;51314.0
19;30.0;6597.67;9717.17;882.0;3026.5;42743.0
20;30.0;3775.3;8641.27;814.0;1649.5;37227.0
21;30.0;2157.93;4782.35;658.0;1362.0;27430.0
22;30.0;1283.37;1499.8;549.0;1055.5;9115.0
23;30.0;999.97;1491.8;410.0;755.0;8853.0
