"dia","hora","cantidad"
"1","0","504"
"1","1","294"
"1","2","150"
"1","3","101"
"1","4","104"
"1","5","154"
"1","6","708"
"1","7","2994"
"1","8","5733"
"1","9","7537"
"1","10","8164"
"1","11","7947"
"1","12","5353"
"1","13","5157"
"1","14","5367"
"1","15","4863"
"1","16","11458"
"1","17","10614"
"1","18","2373"
"1","19","1979"
"1","20","1613"
"1","21","1377"
"1","22","985"
"1","23","767"
"2","0","526"
"2","1","316"
"2","2","200"
"2","3","130"
"2","4","110"
"2","5","107"
"2","6","154"
"2","7","311"
"2","8","719"
"2","9","1074"
"2","10","1509"
"2","11","1648"
"2","12","1789"
"2","13","1508"
"2","14","7959"
"2","15","1442"
"2","16","1573"
"2","17","9038"
"2","18","16049"
"2","19","3765"
"2","20","1418"
"2","21","1237"
"2","22","1151"
"2","23","783"
"3","0","512"
"3","1","257"
"3","2","158"
"3","3","99"
"3","4","107"
"3","5","178"
"3","6","603"
"3","7","2479"
"3","8","5833"
"3","9","7311"
"3","10","6778"
"3","11","7005"
"3","12","29078"
"3","13","5873"
"3","14","11198"
"3","15","4023"
"3","16","3729"
"3","17","8613"
"3","18","14715"
"3","19","2218"
"3","20","1804"
"3","21","1437"
"3","22","1050"
"3","23","835"
"4","0","499"
"4","1","221"
"4","2","102"
"4","3","86"
"4","4","85"
"4","5","155"
"4","6","453"
"4","7","1911"
"4","8","4743"
"4","9","6257"
"4","10","6306"
"4","11","5744"
"4","12","5548"
"4","13","5489"
"4","14","9011"
"4","15","5104"
"4","16","17333"
"4","17","14865"
"4","18","5038"
"4","19","2265"
"4","20","1787"
"4","21","1347"
"4","22","1022"
"4","23","704"
"5","0","500"
"5","1","229"
"5","2","156"
"5","3","94"
"5","4","59"
"5","5","102"
"5","6","167"
"5","7","397"
"5","8","845"
"5","9","1182"
"5","10","1500"
"5","11","1626"
"5","12","1603"
"5","13","1381"
"5","14","3925"
"5","15","1262"
"5","16","12140"
"5","17","14211"
"5","18","1254"
"5","19","1128"
"5","20","1127"
"5","21","1028"
"5","22","729"
"5","23","581"
"6","0","456"
"6","1","276"
"6","2","168"
"6","3","100"
"6","4","65"
"6","5","69"
"6","6","93"
"6","7","199"
"6","8","425"
"6","9","771"
"6","10","1102"
"6","11","1177"
"6","12","1333"
"6","13","1224"
"6","14","8932"
"6","15","1183"
"6","16","12251"
"6","17","15793"
"6","18","15457"
"6","19","9337"
"6","20","1470"
"6","21","1248"
"6","22","1061"
"6","23","695"
"7","0","541"
"7","1","238"
"7","2","176"
"7","3","111"
"7","4","133"
"7","5","165"
"7","6","761"
"7","7","3641"
"7","8","7292"
"7","9","8327"
"7","10","7647"
"7","11","8045"
"7","12","6110"
"7","13","6138"
"7","14","9269"
"7","15","4157"
"7","16","26811"
"7","17","14047"
"7","18","14331"
"7","19","8881"
"7","20","2113"
"7","21","1677"
"7","22","1229"
"7","23","877"
"8","0","585"
"8","1","283"
"8","2","157"
"8","3","124"
"8","4","101"
"8","5","173"
"8","6","615"
"8","7","2814"
"8","8","5782"
"8","9","6997"
